Dataset,Kernel,"['Age', 'Number_of_sexual_partners', 'First_sexual_intercourse', 'Num_of_pregnancies', 'Smokes', 'Smokes_years', 'Smokes_packs_year']"
cervical_new,rbf,"-0.19226, CI: [-0.5326, 0.14807]"
cervical_new,poly,"-0.05000, CI: [-0.29372, 0.19372]"
cervical_new,sigmoid,"0.00000, CI: [0.0, 0.0]"
