Dataset,Embedding,"['V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13']"
heroin_new,Angle,"0.74823, CI: [0.69376, 0.80271]"
heroin_new,IQP,"0.71663, CI: [0.6729, 0.76036]"
