Dataset,Embedding,"['Geschlecht', 'Alter', 'M30', 'M65', 'Adiponektin', 'TNFa', 'AST', 'ALT', 'ALT_AST_ratio']"
nafld_new,Angle,"0.58579, CI: [0.40084, 0.77073]"
nafld_new,IQP,"0.00000, CI: [0.0, 0.0]"
