Dataset,Embedding,"['Age', 'Sex', 'ALB', 'ALP', 'ALT', 'AST', 'BIL', 'CHE', 'CHOL', 'CREA']","['GGT', 'PROT', 'Age', 'Sex', 'ALB', 'ALP', 'ALT', 'AST', 'BIL', 'CHE']"
hcv_new,Angle,"0.34760, CI: [0.117, 0.57819]","0.13745, CI: [-0.04654, 0.32144]"
hcv_new,IQP,"0.00000, CI: [0.0, 0.0]","0.00000, CI: [0.0, 0.0]"
