,Dataset,Embedding,Times
0,cervical_new,Angle,83.56995248794556
1,cervical_new,IQP,196.2299199104309
2,fertility_new,Angle,54.77157807350159
3,fertility_new,IQP,248.70890045166016
4,haberman_new,Angle,25.984083652496338
5,haberman_new,IQP,38.00492286682129
6,hcv_new,Angle,157.3273410797119
7,hcv_new,IQP,793.3121962547302
8,nafld_new,Angle,52.04323220252991
9,nafld_new,IQP,244.79855871200562
10,heroin_new,Angle,228.01639986038208
11,heroin_new,IQP,1063.580703496933
12,sobar_new,Angle,103.45693278312683
13,sobar_new,IQP,597.5009129047394
14,wdbc_new,Angle,167.044442653656
15,wdbc_new,IQP,812.3946795463562
