Dataset,Embedding,"['V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12']","['V13', 'V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11']"
heroin_new,Angle,"0.08504, CI: [-0.01018, 0.18026]","0.11703, CI: [0.01132, 0.22274]"
heroin_new,IQP,"-0.00358, CI: [-0.01059, 0.00343]","0.00000, CI: [0.0, 0.0]"
