Dataset,Kernel,"['V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12']","['V13', 'V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11']"
heroin_new,rbf,"0.89810, CI: [0.89443, 0.90176]","0.89916, CI: [0.89603, 0.90228]"
heroin_new,poly,"0.90235, CI: [0.89629, 0.90841]","0.89916, CI: [0.89461, 0.9037]"
heroin_new,sigmoid,"0.88005, CI: [0.86988, 0.89021]","0.87897, CI: [0.86775, 0.89019]"
