Dataset,Kernel,"['V3', 'V4', 'V5', 'V6']","['V7', 'V8', 'V9', 'V10']","['V11', 'V12', 'V13', 'V14']","['V15', 'V16', 'V17', 'V18']","['V19', 'V20', 'V21', 'V22']","['V23', 'V24', 'V25', 'V26']","['V27', 'V28', 'V29', 'V30']","['V31', 'V32', 'V3', 'V4']"
wdbc_new,Angle,"0.62742, CI: [0.62355, 0.63129]","0.62742, CI: [0.62355, 0.63129]","0.62742, CI: [0.62355, 0.63129]","0.62742, CI: [0.62355, 0.63129]","0.62742, CI: [0.62355, 0.63129]","0.62742, CI: [0.62355, 0.63129]","0.62742, CI: [0.62355, 0.63129]","0.62742, CI: [0.62355, 0.63129]"
wdbc_new,IQP,"0.89812, CI: [0.8649, 0.93135]","0.90862, CI: [0.8918, 0.92543]","0.82077, CI: [0.80616, 0.83539]","0.83133, CI: [0.81506, 0.8476]","0.78030, CI: [0.76206, 0.79853]","0.93678, CI: [0.9117, 0.96186]","0.90862, CI: [0.8918, 0.92543]","0.94204, CI: [0.92206, 0.96203]"
