Dataset,Kernel,"['Age', 'Sex', 'ALB']","['ALP', 'ALT', 'AST']","['BIL', 'CHE', 'CHOL']","['CREA', 'GGT', 'PROT']"
hcv_new,IQP,"0.96337, 0.59376, 0.00000, 0.00000","0.97620, 0.97334, 0.54095, 0.59014","0.96337, 0.37475, 0.00000, 0.00000","0.96337, 0.55928, 0.00000, 0.00000"
hcv_new,Angle,"0.96337, 0.45724, 0.00000, 0.00000","0.96886, 0.99381, 0.28000, 0.30609","0.96337, 0.39772, 0.00000, 0.00000","0.96337, 0.55892, 0.00000, 0.00000"
