Dataset,Embedding,"['Age', 'Sex', 'ALB', 'ALP', 'ALT', 'AST', 'BIL', 'CHE', 'CHOL', 'CREA', 'GGT']","['PROT', 'Age', 'Sex', 'ALB', 'ALP', 'ALT', 'AST', 'BIL', 'CHE', 'CHOL', 'CREA']"
hcv_new,Angle,"0.99245, CI: [0.98428, 1.00063]","0.98184, CI: [0.9661, 0.99758]"
hcv_new,IQP,"0.90664, CI: [0.8596, 0.95368]","0.88803, CI: [0.84877, 0.92729]"
