Dataset,Embedding,"['V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13']","['V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24']","['V25', 'V26', 'V27', 'V28', 'V29', 'V30', 'V31', 'V32', 'V3', 'V4', 'V5']"
wdbc_new,Angle,"0.98784, CI: [0.9821, 0.99359]","0.99180, CI: [0.98474, 0.99886]","0.99286, CI: [0.9858, 0.99991]"
wdbc_new,IQP,"0.96721, CI: [0.95417, 0.98024]","0.97166, CI: [0.95928, 0.98403]","0.97952, CI: [0.96465, 0.9944]"
