Dataset,Embedding,"['Geschlecht', 'Alter', 'M30', 'M65', 'Adiponektin', 'TNFa', 'AST', 'ALT', 'ALT_AST_ratio']"
nafld_new,Angle,"0.89667, CI: [0.83787, 0.95547]"
nafld_new,IQP,"0.78000, CI: [0.7206, 0.8394]"
