Dataset,Embedding,"['Geschlecht', 'Alter', 'M30', 'M65', 'Adiponektin', 'TNFa', 'AST', 'ALT', 'ALT_AST_ratio']"
nafld_new,Angle,"0.55750, CI: [0.37552, 0.73948]"
nafld_new,IQP,"0.78000, CI: [0.7206, 0.8394]"
