Dataset,Embedding,"['V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12']","['V13', 'V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11']"
heroin_new,Angle,"0.50416, CI: [0.41079, 0.59754]","0.44298, CI: [0.38229, 0.50368]"
heroin_new,IQP,"0.71559, CI: [0.66036, 0.77082]","0.72896, CI: [0.67919, 0.77873]"
