Dataset,Embedding,"['V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12']","['V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22']","['V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'V29', 'V30', 'V31', 'V32']"
wdbc_new,Angle,"0.54044, CI: [0.4885, 0.59237]","0.47057, CI: [0.43669, 0.50445]","0.51145, CI: [0.4508, 0.57211]"
wdbc_new,IQP,"0.96307, CI: [0.94827, 0.97787]","0.89502, CI: [0.8712, 0.91883]","0.98731, CI: [0.9782, 0.99642]"
