"filename", "language", "Python", "CSV", "JSON", "Ini", "TOML", "Markdown", "CSS", "pip requirements", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/docs/build/_static/styles/furo.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/docs/build/genindex.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 1, 22, 102
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/docs/build/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 1, 20, 119
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/docs/build/search.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 1, 25, 117
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/docs/build/searchindex.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/docs/conf.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 55
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/docs/index.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/generate_train_test_plots.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/kernel_based_training.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/main.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 45
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/mypy.ini", "Ini", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/pyproject.toml", "TOML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 3, 40
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 1, 124
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/kernel/__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/kernel/embeddings.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/kernel/fidelity_quantum_kernel.py", "Python", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 229
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/kernel/kernel_loss.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/kernel/model_utils.py", "Python", 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 68, 352
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/kernel/quantum_kernel.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 76
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/kernel/trainable_kernel.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 109
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/kernel/variational_classifier.py", "Python", 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32, 225
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/loss_functions.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 92
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/plots/plot_data.py", "Python", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 207
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/plots/plot_kernel.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 21
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/plots/plot_model.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 82
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/preprocessing.py", "Python", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 159
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/qfm.py", "Python", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 158
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/qsvm.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 85
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/src/qmlab/utils/globals.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/statevector.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 24
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/tests/qmlab_testcase.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/tests/test_fidelity_kernel.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 45
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/tests/test_plot_data.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/tests/test_preprocessing.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 101
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/tests/test_qfm.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/tests/test_qsvc.py", "Python", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 105
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/tutorials/classical_learning.ipynb", "JSON", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 194
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/tutorials/mypy.ini", "Ini", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/torbenheckes/ST24/bachelor-thesis/qml-supervised/tutorials/quantum_kernel_learning.ipynb", "JSON", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 156
"Total", "-", 1884, 5210, 348, 4, 37, 15, 1612, 123, 268, 1127, 2676, 374, 1008, 14686
