Dataset,Embedding,"['LB', 'AC', 'FM', 'UC', 'DL', 'DS', 'DP', 'ASTV', 'MSTV', 'ALTV']","['MLTV', 'Width', 'Min', 'Max', 'Nmax', 'Nzeros', 'Mode', 'Mean', 'Median', 'Variance']","['Tendency', 'CLASS', 'LB', 'AC', 'FM', 'UC', 'DL', 'DS', 'DP', 'ASTV']"
ctg_new,Angle,"0.00000, CI: [0.0, 0.0]","0.00000, CI: [0.0, 0.0]","0.00000, CI: [0.0, 0.0]"
ctg_new,IQP,"0.76325, CI: [0.73262, 0.79389]","0.69736, CI: [0.65175, 0.74297]","0.79317, CI: [0.76024, 0.82611]"
