Dataset,Embedding,"['V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12']","['V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22']","['V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'V29', 'V30', 'V31', 'V32']"
wdbc_new,Angle,"0.00000, CI: [0.0, 0.0]","0.00000, CI: [0.0, 0.0]","0.00000, CI: [0.0, 0.0]"
wdbc_new,IQP,"0.82329, CI: [0.76756, 0.87902]","0.64977, CI: [0.58369, 0.71584]","0.88991, CI: [0.85625, 0.92357]"
