Dataset,Kernel,"['Age', 'Sex', 'ALB', 'ALP', 'ALT', 'AST', 'BIL', 'CHE', 'CHOL', 'CREA', 'GGT']","['PROT', 'Age', 'Sex', 'ALB', 'ALP', 'ALT', 'AST', 'BIL', 'CHE', 'CHOL', 'CREA']"
hcv_new,rbf,"0.81968, CI: [0.73132, 0.90803]","0.82531, CI: [0.66872, 0.9819]"
hcv_new,poly,"0.95492, CI: [0.86656, 1.04328]","0.87039, CI: [0.70325, 1.03753]"
hcv_new,sigmoid,"0.37367, CI: [0.10762, 0.63972]","0.61640, CI: [0.41227, 0.82052]"
