Dataset,Kernel,"['V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13']","['V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24']","['V25', 'V26', 'V27', 'V28', 'V29', 'V30', 'V31', 'V32', 'V3', 'V4', 'V5']"
wdbc_new,rbf,"0.98687, CI: [0.98016, 0.99358]","0.99601, CI: [0.99083, 1.00118]","0.99656, CI: [0.99141, 1.00171]"
wdbc_new,poly,"0.99009, CI: [0.98385, 0.99633]","0.99334, CI: [0.98572, 1.00097]","0.99479, CI: [0.98687, 1.00272]"
wdbc_new,sigmoid,"0.31864, CI: [0.26234, 0.37494]","0.54250, CI: [0.41906, 0.66594]","0.47787, CI: [0.43749, 0.51825]"
