Dataset,Embedding,"['Geschlecht', 'Alter', 'M30', 'M65', 'Adiponektin', 'TNFa', 'AST', 'ALT', 'ALT_AST_ratio']"
nafld_new,Angle,"0.42059, CI: [0.22331, 0.61787]"
nafld_new,IQP,"0.68473, CI: [0.50377, 0.86568]"
