Dataset,Embedding,"['Age', 'Number_of_sexual_partners', 'First_sexual_intercourse', 'Num_of_pregnancies', 'Smokes', 'Smokes_years', 'Smokes_packs_year']"
cervical_new,Angle,"0.33651, CI: [0.12905, 0.54397]"
cervical_new,IQP,"0.51839, CI: [0.44298, 0.59379]"
