Dataset,Embedding,"['Age', 'Sex', 'ALB', 'ALP', 'ALT', 'AST', 'BIL', 'CHE', 'CHOL', 'CREA', 'GGT']","['PROT', 'Age', 'Sex', 'ALB', 'ALP', 'ALT', 'AST', 'BIL', 'CHE', 'CHOL', 'CREA']"
hcv_new,Angle,"0.60324, CI: [0.49202, 0.71445]","0.54245, CI: [0.42245, 0.66245]"
hcv_new,IQP,"0.91496, CI: [0.86407, 0.96585]","0.88790, CI: [0.8594, 0.91639]"
