Dataset,Embedding,"['V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13']","['V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24']","['V25', 'V26', 'V27', 'V28', 'V29', 'V30', 'V31', 'V32', 'V3', 'V4', 'V5']"
wdbc_new,Angle,"0.51531, CI: [0.47314, 0.55748]","0.46661, CI: [0.42695, 0.50628]","0.50466, CI: [0.49487, 0.51445]"
wdbc_new,IQP,"0.96736, CI: [0.9589, 0.97582]","0.97110, CI: [0.96157, 0.98062]","0.97972, CI: [0.96906, 0.99039]"
