Dataset,Embedding,"['V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13']"
heroin_new,Angle,"0.44017, CI: [0.40591, 0.47442]"
heroin_new,IQP,"0.70960, CI: [0.66147, 0.75774]"
