Dataset,Embedding,"['Age', 'Sex', 'ALB', 'ALP', 'ALT', 'AST', 'BIL', 'CHE', 'CHOL', 'CREA', 'GGT']","['PROT', 'Age', 'Sex', 'ALB', 'ALP', 'ALT', 'AST', 'BIL', 'CHE', 'CHOL', 'CREA']"
hcv_new,Angle,"0.47365, CI: [0.21579, 0.7315]","0.39066, CI: [0.19004, 0.59129]"
hcv_new,IQP,"0.00000, CI: [0.0, 0.0]","0.00000, CI: [0.0, 0.0]"
