,Dataset,Embedding,Times
0,cervical_new,Angle,45.213701248168945
1,cervical_new,IQP,95.46978545188904
2,ctg_new,Angle,383.5602676868439
3,ctg_new,IQP,2172.565024614334
4,fertility_new,Angle,22.62101101875305
5,fertility_new,IQP,107.6235830783844
6,haberman_new,Angle,14.724745750427246
7,haberman_new,IQP,20.30415105819702
8,hcv_new,Angle,90.3128011226654
9,hcv_new,IQP,526.9966506958008
10,nafld_new,Angle,27.625184059143066
11,nafld_new,IQP,127.93895840644836
12,heroin_new,Angle,76.71764039993286
13,heroin_new,IQP,427.6419413089752
14,sobar_new,Angle,62.15123534202576
15,sobar_new,IQP,378.6419916152954
16,wdbc_new,Angle,138.59716892242432
17,wdbc_new,IQP,812.5087804794312
