Dataset,Embedding,"['V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13']","['V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22', 'V23', 'V24']","['V25', 'V26', 'V27', 'V28', 'V29', 'V30', 'V31', 'V32', 'V3', 'V4', 'V5']"
wdbc_new,Angle,"0.88518, CI: [0.82928, 0.94109]","0.90252, CI: [0.871, 0.93405]","0.94437, CI: [0.90137, 0.98736]"
wdbc_new,IQP,"0.82591, CI: [0.8005, 0.85133]","0.85216, CI: [0.81174, 0.89258]","0.86711, CI: [0.81576, 0.91847]"
