Dataset,Embedding,"['LB', 'AC', 'FM', 'UC', 'DL', 'DS', 'DP', 'ASTV', 'MSTV', 'ALTV', 'MLTV']","['Width', 'Min', 'Max', 'Nmax', 'Nzeros', 'Mode', 'Mean', 'Median', 'Variance', 'Tendency', 'CLASS']"
ctg_new,Angle,"0.90587, CI: [0.86945, 0.9423]","0.96840, CI: [0.94234, 0.99446]"
ctg_new,IQP,"0.61876, CI: [0.57618, 0.66135]","0.77839, CI: [0.73912, 0.81767]"
