Dataset,Embedding,"['behavior_sexualRisk', 'behavior_eating', 'behavior_personalHygine', 'intention_aggregation', 'intention_commitment', 'attitude_consistency', 'attitude_spontaneity', 'norm_significantPerson', 'norm_fulfillment', 'perception_vulnerability', 'perception_severity']","['motivation_strength', 'motivation_willingness', 'socialSupport_emotionality', 'socialSupport_appreciation', 'socialSupport_instrumental', 'empowerment_knowledge', 'empowerment_abilities', 'empowerment_desires', 'behavior_sexualRisk', 'behavior_eating', 'behavior_personalHygine']"
sobar_new,Angle,"0.56835, CI: [0.33165, 0.80505]","0.35722, CI: [0.15867, 0.55577]"
sobar_new,IQP,"0.00000, CI: [0.0, 0.0]","0.00000, CI: [0.0, 0.0]"
