Dataset,Embedding,"['Age', 'Number_of_sexual_partners', 'First_sexual_intercourse', 'Num_of_pregnancies', 'Smokes', 'Smokes_years', 'Smokes_packs_year']"
cervical_new,Angle,"0.00000, CI: [0.0, 0.0]"
cervical_new,IQP,"0.00000, CI: [0.0, 0.0]"
