Dataset,Embedding,"['LB', 'AC', 'FM', 'UC', 'DL', 'DS', 'DP', 'ASTV', 'MSTV', 'ALTV']","['MLTV', 'Width', 'Min', 'Max', 'Nmax', 'Nzeros', 'Mode', 'Mean', 'Median', 'Variance']","['Tendency', 'CLASS', 'LB', 'AC', 'FM', 'UC', 'DL', 'DS', 'DP', 'ASTV']"
ctg_new,Angle,"0.92009, CI: [0.8932, 0.94698]","0.69764, CI: [0.64187, 0.75341]","0.96171, CI: [0.93068, 0.99274]"
ctg_new,IQP,"0.76325, CI: [0.73262, 0.79389]","0.69736, CI: [0.65175, 0.74297]","0.79317, CI: [0.76024, 0.82611]"
