Dataset,Kernel,"['V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12']","['V13', 'V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11']"
heroin_new,rbf,"0.54734, CI: [0.41105, 0.68362]","0.60222, CI: [0.45332, 0.75111]"
heroin_new,poly,"0.55622, CI: [0.41479, 0.69766]","0.51384, CI: [0.38418, 0.6435]"
heroin_new,sigmoid,"0.51728, CI: [0.35727, 0.67729]","0.51685, CI: [0.35733, 0.67638]"
