Dataset,Kernel,"['V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12']","['V13', 'V14', 'V15', 'V16', 'V17', 'V18', 'V19', 'V20', 'V21', 'V22']","['V23', 'V24', 'V25', 'V26', 'V27', 'V28', 'V29', 'V30', 'V31', 'V32']"
wdbc_new,rbf,"0.90675, CI: [0.87085, 0.94265]","0.74284, CI: [0.7024, 0.78328]","0.96313, CI: [0.94056, 0.9857]"
wdbc_new,poly,"0.91572, CI: [0.88003, 0.95141]","0.80290, CI: [0.75915, 0.84665]","0.96273, CI: [0.93289, 0.99257]"
wdbc_new,sigmoid,"-0.27515, CI: [-0.37416, -0.17614]","0.03123, CI: [-0.00958, 0.07205]","-0.04182, CI: [-0.10824, 0.0246]"
