Dataset,Kernel,"['Geschlecht', 'Alter', 'M30', 'M65', 'Adiponektin', 'TNFa', 'AST', 'ALT', 'ALT_AST_ratio']"
nafld_new,rbf,"0.76427, CI: [0.63674, 0.89181]"
nafld_new,poly,"0.86667, CI: [0.66707, 1.06626]"
nafld_new,sigmoid,"0.80654, CI: [0.67854, 0.93454]"
