Dataset,Embedding,"['V2', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13']"
heroin_new,Angle,"0.00000, CI: [0.0, 0.0]"
heroin_new,IQP,"0.00000, CI: [0.0, 0.0]"
