Dataset,Embedding,"['LB', 'AC', 'FM', 'UC', 'DL', 'DS', 'DP', 'ASTV', 'MSTV', 'ALTV', 'MLTV']","['Width', 'Min', 'Max', 'Nmax', 'Nzeros', 'Mode', 'Mean', 'Median', 'Variance', 'Tendency', 'CLASS']"
ctg_new,Angle,"0.00000, CI: [0.0, 0.0]","0.00000, CI: [0.0, 0.0]"
ctg_new,IQP,"0.61876, CI: [0.57618, 0.66135]","0.77839, CI: [0.73912, 0.81767]"
