Dataset,Embedding,"['LB', 'AC', 'FM', 'UC', 'DL', 'DS', 'DP', 'ASTV', 'MSTV', 'ALTV']","['MLTV', 'Width', 'Min', 'Max', 'Nmax', 'Nzeros', 'Mode', 'Mean', 'Median', 'Variance']","['Tendency', 'CLASS', 'LB', 'AC', 'FM', 'UC', 'DL', 'DS', 'DP', 'ASTV']"
ctg_new,Angle,"0.99533, CI: [0.99101, 0.99964]","0.94806, CI: [0.92544, 0.97069]","0.99970, CI: [0.9993, 1.0001]"
ctg_new,IQP,"0.98594, CI: [0.97339, 0.9985]","0.95721, CI: [0.93789, 0.97653]","0.99740, CI: [0.99528, 0.99952]"
