Dataset,Kernel,"['V2', 'V4', 'V5']","['V6', 'V7', 'V8']","['V9', 'V10', 'V11']","['V12', 'V13', 'V2']"
heroin_new,IQP,"0.89703, 0.51708, 0.00000, 0.00000","0.89703, 0.55076, 0.00000, 0.00000","0.89703, 0.53581, 0.00000, 0.00000","0.89703, 0.52308, 0.00000, 0.00000"
heroin_new,Angle,"0.89703, 0.51339, 0.00000, 0.00000","0.89703, 0.53908, 0.00000, 0.00000","0.89703, 0.58981, 0.00000, 0.00000","0.89703, 0.55776, 0.00000, 0.00000"
