Dataset,Kernel,"['V3', 'V4', 'V5']","['V6', 'V7', 'V8']","['V9', 'V10', 'V11']","['V12', 'V13', 'V14']","['V15', 'V16', 'V17']","['V18', 'V19', 'V20']","['V21', 'V22', 'V23']","['V24', 'V25', 'V26']","['V27', 'V28', 'V29']","['V30', 'V31', 'V32']"
wdbc_new,IQP,"0.90692, 0.95811, 0.86953, 0.80202","0.89460, 0.96960, 0.85051, 0.77601","0.91039, 0.95561, 0.87926, 0.81030","0.81200, 0.87965, 0.68667, 0.59845","0.84187, 0.91827, 0.74909, 0.66383","0.73989, 0.79048, 0.64834, 0.44327","0.91919, 0.97579, 0.88590, 0.83005","0.94029, 0.98405, 0.91657, 0.87330","0.85935, 0.92771, 0.80634, 0.69787","0.91567, 0.97349, 0.88455, 0.82003"
wdbc_new,Angle,"0.89815, 0.96062, 0.85436, 0.78280","0.89988, 0.97323, 0.85524, 0.78749","0.90161, 0.96418, 0.86515, 0.79097","0.81203, 0.87926, 0.68401, 0.59972","0.82431, 0.92165, 0.70469, 0.62850","0.70824, 0.79076, 0.57001, 0.36110","0.92094, 0.97803, 0.88534, 0.83414","0.94027, 0.98701, 0.91601, 0.87308","0.84706, 0.92872, 0.78955, 0.67165","0.91740, 0.97823, 0.88723, 0.82364"
